id,geo_point_2d,nom,insee,adresse,type_usagers,gratuit,nb_places,nb_pr,hauteur_max,num_siret,tarif_pmr,tarif_1h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,code,type,commune,epci,nb_pmr,nb_velo,nb_covoit,codes,url,nb_voitures_electriques,nb_2r_el,nb_autopartage,nb_2_rm,info
38006-P-001,"45.394138,6.075166","ALLEVARD PLACE DE VERDUN",38006,"Place de Verdun, 38580, Allevard",tous,1,12,0,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38006-P-001,parking,Allevard,LeGresivaudan,,,,,,,,,,
38039-P-001,"45.264254,5.878285","BERNIN CLOYÈRES",38039,"Chemin des Fontaines, 38190, Bernin",tous,1,22,22,220,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38039-P-001,parking,Bernin,LeGresivaudan,1,8,,,,,,,,
38059-P-001,"45.135023,5.771173","BRIÉ ET ANGONNES - TAVERNOLLES",38059,"Route de Jarrie, 38320, Brié-et-Angonnes",tous,1,36,36,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38059-P-001,parking,Brié-et-Angonnes,LaMetro,1,10,2,,,,,,,
38133-P-001,"45.353332,5.597965","PLAN MENU",38133,"Route de Grenoble, 38500, Coublevie",tous,1,150,150,190,24380098400029,gratuit,,,,,,,enclos_en_surface,38133-P-001,parking,Coublevie,PaysVoironnais,3,14,,,,,,,,
38140-P-001,"45.270568,5.893637","CROLLES RAFOUR",38140,"rue Ambroise Croisat, 38920, Crolles",tous,1,41,0,200,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38140-P-001,parking,Crolles,LeGresivaudan,,0,41,,,,,,,
38150-P-001,"45.20669,5.847088","DOMENE LES ARNAUDS",38150,"106 Chemin des Contamines, 38420, Domène",tous,1,40,40,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38150-P-001,parking,Domène,LaMetro,1,,,,,,,,,
38151-P-001,"45.152657,5.718526","ECHIROLLES - GARE",38151,"Avenue des Etats Généraux, 38130, Echirolles ",tous,,100,100,220,30150323100039,normal_payant,,,,,,,enclos_en_surface,38151-P-001,parking,Échirolles,LaMetro,3,,,Array,,,,,,
38158-P-001,"45.147116,5.754957","EYBENS - LE VERDERET",38158,"Avenue des Maquis de l’Oisans, 38320, Eybens",tous,,43,43,210,30150323100039,normal_payant,,,,,,,enclos_en_surface,38158-P-001,parking,Eybens,LaMetro,3,15,,Array,,,,,,
38170-P-001,"45.254102,5.660793","LE FONTANIL CORNILLON - PALLUEL",38170,"Rue des Mûriers, 38120, Fontanil-Cornillon",tous,,189,189,210,30150323100039,normal_payant,,,,,,,enclos_en_surface,38170-P-001,parking,Fontanil-Cornillon,LaMetro,6,,,Array,,,,,,
38179-P-001,"45.187638,5.783864","GIERES - PLAINE DES SPORTS",38179,"Rue des Glairons, 38610, Gières",tous,,160,160,235,30150323100039,normal_payant,,,,,,,enclos_en_surface,38179-P-001,parking,Gières,LaMetro,8,,,Array,,,,,,
38181-P-001,"45.343037,5.975274","GARE DE GONCELIN",38181,"Place de la Gare, 38570, Goncelin",tous,1,130,130,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38181-P-001,parking,Goncelin,LeGresivaudan,2,10,,,,,,,,
38185-P-001,"45.18878,5.716033",ESTACADE,38185,"22 rue Colonel Denfert Rochereau, 38000, Grenoble",tous,,581,0,240,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-001,parking,Grenoble,LaMetro,12,,0,Array,https://www.effia.com/parking/parking-grenoble-estacade-park-grenoble-alpes-metropole,3,0,0,12,
38185-P-002,"45.191959,5.712008","GARES - EUROPOLE",38185,"2 avenue Doyen Louis Weil, 38000, Grenoble",tous,,548,0,210,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-002,parking,Grenoble,LaMetro,21,,3,Array,https://www.effia.com/parking/parking-grenoble-gares-europole-park-grenoble-alpes-metropole,0,0,0,12,"Dépose minute, 30 premières minutes gratuites"
38185-P-003,"45.185748,5.726327","VICTOR HUGO",38185,"Rue François Raoult, 38000 Grenoble",tous,,660,0,190,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-003,parking,Grenoble,LaMetro,14,,0,Array,https://www.effia.com/parking/parking-grenoble-victor-hugo-park-grenoble-alpes-metropole,4,0,0,0,
38185-P-004,"45.190778,5.729321",LAFAYETTE,38185,"21 rue Lafayette, 38000, Grenoble",tous,,285,0,190,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-004,parking,Grenoble,LaMetro,5,,0,Array,https://www.effia.com/parking/parking-grenoble-lafayette-park-grenoble-alpes-metropole,3,0,0,6,
38185-P-005,"45.194399,5.732239","NOTRE DAME - MUSÉE",38185,"50 av du Maréchal Randon, 38000 Grenoble",tous,,851,0,190,84935057400018,normal_payant,2.2,7.7,10.5,33,0,0,ouvrage,38185-P-005,parking,Grenoble,LaMetro,16,,3,Array,https://www.effia.com/parking/parking-grenoble-notre-dame-musee-park-grenoble-alpes-metropole,4,0,0,10,
38185-P-006,"45.191835,5.725235","GRENETTE - TELEPHERIQUE",38185,"12 rue de Belgrade, 38000, Grenoble",tous,,517,0,190,84935057400018,normal_payant,2.2,7.7,10.5,33,0,0,ouvrage,38185-P-006,parking,Grenoble,LaMetro,10,,3,Array,https://www.effia.com/parking/parking-grenoble-grenette-telepherique-park-grenoble-alpes-metropole,4,0,0,8,
38185-P-007,"45.185621,5.712443",SAINT-BRUNO,38185,"33 bis rue Nicolas Chorier, 38000, Grenoble",tous,,120,0,236,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-007,parking,Grenoble,LaMetro,2,,0,Array,https://www.effia.com/parking/parking-grenoble-estacade-park-grenoble-alpes-metropole,0,0,0,0,
38185-P-008,"45.18897,5.732018","PREFECTURE - LES HALLES",38185,"Place de Verdun, 38000, Grenoble",tous,,110,0,190,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-008,parking,Grenoble,LaMetro,3,,0,Array,https://www.effia.com/parking/parking-grenoble-prefecture-les-halles-park-grenoble-alpes-metropole,4,0,0,0,
38185-P-009,"45.185612,5.731463",CHAVANT,38185,"19 Bd Maréchal Lyautey, 38000, Grenoble",tous,,394,0,190,37882179700032,normal_payant,2,,,22.1,,,ouvrage,38185-P-009,parking,Grenoble,LaMetro,,,,Array,https://www.q-park-resa.fr/fr/parking/grenoble/chavant-25.html,,,,,
38185-P-010,"45.162166,5.738663",GEANTS,38185,"10 place des géants, 38100, Grenoble",tous,,304,0,190,84935057400018,normal_payant,0.5,1.1,1.4,3.6,,0,ouvrage,38185-P-010,parking,Grenoble,LaMetro,8,,0,Array,https://www.effia.com/parking/parking-grenoble-geants-park-grenoble-alpes-metropole,0,0,0,0,
38185-P-011,"45.181035,5.70503",VALLIER-CATANE,38185,"50 rue ampère, 38000, Grenoble",tous,,492,490,205,30150323100039,normal_payant,,,,,,,ouvrage,38185-P-011,parking,Grenoble,LaMetro,,,,,,,,,,
38185-P-012,"45.188365,5.741289","PARC MISTRAL - MAIRIE",38185,"1 avenue de Valmy, 38000, Grenoble",tous,,400,0,190,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-012,parking,Grenoble,LaMetro,16,,0,Array,https://www.effia.com/parking/parking-grenoble-mistral-mairie-park-grenoble-alpes-metropole,4,0,0,0,
38185-P-013,"45.20445,5.701214",PRESQU'ILE,38185,"50 Avenue des Martyrs, 38000, Grenoble",tous,,475,0,190,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-013,parking,Grenoble,LaMetro,10,,0,Array,https://www.effia.com/parking/parking-grenoble-presquile-park-grenoble-alpes-metropole,10,0,0,19,
38185-P-014,"45.1935,5.711838","GARES - PALAIS DE JUSTICE",38185,"34 avenue Doyen Louis Weil, 38000, Grenoble",tous,,396,0,200,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-014,parking,Grenoble,LaMetro,8,,0,Array,https://www.effia.com/parking/parking-grenoble-gares-palais-de-justice-park-grenoble-alpes-metropole,4,0,0,10,
38185-P-015,"45.188401,5.728358",VAUCANSON,38185,"2 place Vaucanson, 38000, Grenoble",tous,,120,0,255,84935057400018,normal_payant,2.2,7.7,10.5,33,0,0,enclos_en_surface,38185-P-015,parking,Grenoble,LaMetro,3,,0,Array,https://www.effia.com/parking/parking-grenoble-vaucanson-park-grenoble-alpes-metropole,0,0,0,0,
38185-P-016,"45.194345,5.713614","GARE ROUTIERE",38185,"44 Bis rue Emile Gueymard, 38000, Grenoble",tous,,200,0,255,84935057400018,normal_payant,2.2,7.7,10.5,33,0,0,enclos_en_surface,38185-P-016,parking,Grenoble,LaMetro,4,,0,Array,https://www.effia.com/parking/parking-grenoble-gare-routiere-park-grenoble-alpes-metropole,3,0,0,0,
38185-P-017,"45.199166,5.717306","GRENOBLE - ESPLANADE",38185,"72 Route de Lyon,  38000, Grenoble",tous,,95,95,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,38185-P-017,parking,Grenoble,LaMetro,,,,Array,,,,,,
38214-P-001,"45.302478,5.907698","LUMBIN LONG PRÉ",38214,"Chemin des Longs Prés, 38660, Lumbin",tous,1,50,50,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38214-P-001,parking,Lumbin,LeGresivaudan,,10,,,,,,,,
38229-P-001,"45.207501,5.767896","MEYLAN - LA REVIREE",38229,"Avenue de Verdun, 38240, Meylan",tous,1,36,36,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38229-P-001,parking,Meylan,LaMetro,1,0,,,,,,,,
38249-P-001,"45.224076,5.820248","MONTBONNOT PRÉ DE L'EAU",38249,"Chemin du Moulin, 38330, Montbonnot-Saint-Martin",tous,1,100,100,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38249-P-001,parking,Montbonnot-Saint-Martin,LeGresivaudan,,,,,,,,,,
38314-P-001,"45.432776,6.008159","GARE DE PONTCHARRA",38314,"Rue Jean Pellerin, 38530, Pontcharra",tous,1,110,110,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38314-P-001,parking,Pontcharra,LeGresivaudan,,,,,,,,,,
38317-P-001,"45.127208,5.698806",PONT-DE-CLAIX,38317,"32 cours Saint-André, 38800, Le-Pont-de-Claix ",tous,,116,116,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,38317-P-001,parking,"Le Pont-de-Claix",LaMetro,,,,Array,,,,,,
38317-P-002,"45.137426,5.702209","PONT-DE-CLAIX L'ÉTOILE",38317,"94 cours Saint-André, 38800, Le-Pont-de-Claix",tous,,51,51,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,38317-P-002,parking,"Le Pont-de-Claix",LaMetro,,,,Array,,,,,,
38317-P-003,"45.125234,5.699675","PONT-DE-CLAIX - GARE",38317,"Avenue de la Gare, 38800, Le-Pont-de-Claix",tous,1,21,21,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38317-P-003,parking,"Le Pont-de-Claix",LaMetro,0,0,,,,,,,,
38337-P-001,"45.381028,5.477775","RIVES - BIEVRE DAUPHINE",38337,"Brièvre, 38140, Rives",tous,1,300,300,210,24380098400029,gratuit,0,0,0,0,0,0,enclos_en_surface,38337-P-001,parking,Rives,PaysVoironnais,,,,,,,,,,
38382-P-001,"45.235088,5.671546","ST-EGREVE - GARE",38382,"Rue des Bonnais, 38120, Saint-Egrève",tous,,80,80,330,30150323100039,normal_payant,,,,,,,enclos_en_surface,38382-P-001,parking,Saint-Égrève,LaMetro,2,,,,,,,,,
38382-P-002,"45.242759,5.669222","ST-EGREVE - KARBEN",38382,"15 route de Lyon, 38120, Saint-Egrève",tous,,98,98,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,38382-P-002,parking,Saint-Égrève,LaMetro,2,,,,,,,,,
38382-P-003,"45.23714,5.660806","ST-EGREVE - SAN MARINO-BARRAGE",38382,"San Marino barrage, 38120, Saint-Egrève",tous,,88,88,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,38382-P-003,parking,Saint-Égrève,LaMetro,2,8,,,,,,,0,
38422-P-001,"45.1437,5.829713","URIAGE GARE",38422,"Route de Gières, 38410, Saint-Martin-d’Uriage",tous,1,64,0,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38422-P-001,parking,Saint-Martin-d'Uriage,LeGresivaudan,,,,,,,,,,
38431-P-001,"45.258126,5.850978","ST-NAZAIRE-LES-EYMES, LES RATZ",38431,"Route de Chambéry, 38330, Saint-Nazaire-les-Eymes",tous,1,12,0,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38431-P-001,parking,Saint-Nazaire-les-Eymes,LeGresivaudan,,,,,,,,,,
38474-P-001,"45.213398,5.660971","SASSENAGE - JEAN PREVOST",38474,"Place Jean Prévost, 38360, Les Côtes-de-Sassenage",tous,,80,80,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,38474-P-001,parking,Sassenage,LaMetro,2,,,,,,,,,
38474-P-002,"45.22102100284127,5.659665123317892","SASSENAGE - ENGENIÈRES",38474,"Rue des Engenières, 38360, Sassenage",tous,1,40,40,235,30150323100039,gratuit,,,,,,,enclos_en_surface,38474-P-002,parking,Sassenage,LaMetro,1,0,,,,,,,,
38485-P-001,"45.179581,5.695704","SEYSSINET PARISET - HÔTEL DE VILLE",38485,"Rue Lamartine, 38170, Seyssinet-Pariset",tous,,75,75,255,30150323100039,normal_payant,,,,,,,enclos_en_surface,38485-P-001,parking,Seyssinet-Pariset,LaMetro,,,,Array,,,,,,
38486-P-001,"45.16609,5.690739","SEYSSINS - LE PRISME",38486,"Avenue de Grenoble, 38180, Seyssins",tous,,120,120,330,30150323100039,normal_payant,,,,,,,enclos_en_surface,38486-P-001,parking,Seyssins,LaMetro,2,,,Array,,,,,,
38504-P-001,"45.299699,5.992206",THEYS_HALLE_DES_SPORTS,38504,"Le Lusson, 38570, Theys",tous,1,40,0,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38504-P-001,parking,Theys,LeGresivaudan,,,,,,,,,,
38516-P-001,"45.198759,5.750686","LA TRONCHE - GRAND SABLON",38516,"4 avenue de l’Obiou, 38700, La Tronche ",tous,,232,232,190,30150323100039,normal_payant,,,,,,,ouvrage,38516-P-001,parking,"La Tronche",LaMetro,,,,Array,,,,,,
38545-P-001,"45.050038,5.671031","VIF - LA VALONNE",38545,"Boulevard de la Résistance, 38450, Vif",tous,1,71,71,190,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38545-P-001,parking,Vif,LaMetro,2,,,,,,,,,
38545-P-002,"45.047859,5.6855","VIF - GARE",38545,"Avenue de la Gare, 38450, Vif",tous,1,20,20,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38545-P-002,parking,Vif,LaMetro,0,0,,,,,,,,
38200-P-001,"45.085798,5.743566","JARRIE - VIZILLE - GARE",38200,"Allée de la Croix de la Vue, 38560, Jarrie",tous,1,34,34,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38200-P-001,parking,Jarrie,LaMetro,0,0,,,,,,,,
38388-P-001,"45.043806,5.701652","ST-GEORGES-DE-COMMIERS - GARE",38388,"Rue de la gare, 38450, St-Georges-de-Commiers",tous,1,28,28,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38388-P-001,parking,Saint-Georges-de-Commiers,LaMetro,2,0,,,,,,,,
38547-P-001,"45.262894,5.901989","GARE DE BRIGNOUD",38547,"Avenue Robert Huant, 38190, Villard-Bonnot",tous,1,115,115,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38547-P-001,parking,Villard-Bonnot,LeGresivaudan,,,,,,,,,,
38547-P-002,"45.23479,5.88171","GARE DE LANCEY",38547,"Avenue des Papeteries, 38190, Villard-Bonnot",tous,1,118,118,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38547-P-002,parking,Villard-Bonnot,LeGresivaudan,,,,,,,,,,
38524-P-001,"45.10319,5.686464","VARCES - ROCHEFORT",38524,"D1075 Le grand rochefort, 38760, Varces-Allières-et-Risset",tous,1,101,101,190,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38524-P-001,parking,Varces-Allières-et-Risset,LaMetro,2,24,,,,,,,,
38562-P-001,"45.080562,5.774274",CHANTEFEUILLE,38562,"Avenue Maurice Thorez, 38220, Vizille",tous,1,70,70,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38562-P-001,parking,Vizille,LaMetro,3,24,,,,,,,,
38511-P-001,"45.357916,5.955165","GRANDES TERRES",38511,"D1090, 38660, Le Touvet",tous,1,50,50,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38511-P-001,parking,"Le Touvet",LeGresivaudan,0,0,,,,,,,,
38337-P-002,"45.358791,5.491794","POLE D'ECHANGE RIVES",38337,"Avenue Jean Moulin, 38140, Rives",tous,1,150,150,330,24380098400029,gratuit,0,0,0,0,0,0,enclos_en_surface,38337-P-002,parking,Rives,PaysVoironnais,3,2,,,,,,,,
38331-P-001,"45.368437,5.534624","GARE DE REAUMONT",38331,"Route des Etangs, 38140, Réaumont",tous,1,182,182,250,24380098400029,gratuit,0,0,0,0,0,0,enclos_en_surface,38331-P-001,parking,Réaumont,PaysVoironnais,2,8,,,,,,,,
38084-P-001,"45.34235,5.526967","BOIS VERT",38084,"Route des Vergers, 38140, Charnècles",tous,1,10,10,330,24380098400029,gratuit,0,0,0,0,0,0,enclos_en_surface,38084-P-001,parking,Charnècles,PaysVoironnais,0,0,,,,,,,,
38563-P-001,"45.350023,5.567297",CHAMPFEUILLET,38563,"Route des Bois, 38500, Voiron",tous,1,156,156,330,24380098400029,gratuit,0,0,0,0,0,0,enclos_en_surface,38563-P-001,parking,Voiron,PaysVoironnais,3,6,,,,,,,,
38563-P-002,"45.361352,5.570962","LE PARVIS",38563,"Route du Louvasset, 38500, Voiron",tous,1,40,40,210,24380098400029,gratuit,0,0,0,0,0,0,enclos_en_surface,38563-P-002,parking,Voiron,PaysVoironnais,2,6,,,,,,,,
38563-P-003,"45.364417,5.594703","POLE D'ECHANGE VOIRON",38563,"Place Pierre Sémard, 38500, Voiron",tous,,472,472,210,24380098400029,gratuit,0,0,0,0,0,0,enclos_en_surface,38563-P-003,parking,Voiron,PaysVoironnais,4,12,,,,,,,,
38133-P-002,"45.365614,5.621509","CROIX BAYARD",38133,"Route de Voiron, 38500, Coublevie",tous,1,20,20,330,24380098400029,gratuit,,,,,,,enclos_en_surface,38133-P-002,parking,Coublevie,PaysVoironnais,3,0,,,,,,,,
38061-P-001,"45.33235,5.615577","LE GAY GIRATOIRE",38061,"Rue des Ecoles, 38500, La Buisse",tous,1,93,93,330,24380098400029,gratuit,,,,,,,enclos_en_surface,38061-P-001,parking,"La Buisse",PaysVoironnais,3,14,,,,,,,,
38239-P-001,"45.321456,5.583609","POLE D'ECHANGE MOIRANS",38239,"Route de la Gare, 38500, Moirans",tous,,558,558,220,24380098400029,normal_payant,,,,,,,ouvrage,38239-P-001,parking,Moirans,PaysVoironnais,3,20,,,,,,,,
38565-P-001,"45.290371,5.632736","POLE D'ECHANGE VOREPPE",38565,"Rue de la Gare, 38340, Voreppe",tous,1,270,270,330,24380098400029,gratuit,,,,,,,enclos_en_surface,38565-P-001,parking,Voreppe,PaysVoironnais,1,8,,,,,,,,
38517-P-001,"45.301302,5.4922","POLE D'ECHANGE TULLINS",38517,"Avenue du 11 novembre, 38210, Tullins",tous,1,200,200,330,24380098400029,gratuit,,,,,,,enclos_en_surface,38517-P-001,parking,Tullins,PaysVoironnais,7,10,,,,,,,,
38397-P-001,"45.24116594242951,5.848263731920618","POLE D'ECHANGE LA BATIE",38397,"chemin des Plantées, 38330, Saint-Ismier",tous,1,80,80,330,20001816600245,gratuit,,,,,,,enclos_en_surface,38397-P-001,parking,Saint-Ismier,LeGresivaudan,2,20,,,,,,,,
